zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot,chinese_count,ch_tot_review_ct,ch_avg_review_ct,ch_avg_rating,mexican_count,mx_tot_review_ct,mx_avg_review_ct,mx_avg_rating,fastfood_count,ff_tot_review_ct,ff_avg_review_ct,ff_avg_rating
23504,8114,8036,369,7569,23,11,1,4,59,78,14,38,2,0,2,16,6,8600000US23504,16984.0,1143.0,8114,383,7607,25,11,3,20,15,566,37.73,3.7,15,1661,110.73,3.2,24,682,28.42,2.94
44144,9988,9587,9163,163,18,126,1,8,108,401,182,5,1,0,2,187,24,8600000US44144,23806.0,1502.0,9988,9345,168,19,126,3,195,6,92,15.33,3.42,8,130,16.25,3.06,19,263,13.84,2.58
70501,11216,11121,3970,6986,15,36,1,18,95,95,40,24,3,0,0,17,11,8600000US70501,16779.0,1357.0,11216,4010,7010,18,36,1,35,2,35,17.5,4.75,9,218,24.22,3.11,19,72,3.79,2.95
02852,9164,9046,8781,89,44,66,2,5,59,118,60,3,5,0,2,36,12,8600000US02852,41377.0,2135.0,9164,8841,92,49,66,4,41,2,244,122.0,3.0,1,107,107.0,3.5,2,11,5.5,3.0
93063,16393,14650,13273,204,65,822,21,18,247,1743,990,2,37,10,0,580,124,8600000US93063,36783.0,1261.0,16393,14263,206,102,832,21,598,4,384,96.0,3.38,17,1979,116.41,3.53,16,806,50.38,2.66
84065,8433,8235,8115,11,19,43,16,2,29,198,95,0,2,1,0,80,20,8600000US84065,30488.0,1409.0,8433,8210,11,21,44,16,82,5,281,56.2,2.9,8,451,56.38,2.94,13,134,10.31,2.0
45215,13129,13022,9388,3346,14,158,3,11,102,107,55,8,0,0,0,31,13,8600000US45215,32351.0,3173.0,13129,9443,3354,14,158,3,42,1,15,15.0,3.5,5,39,7.8,3.1,19,149,7.84,2.61
72401,19143,18829,16585,1900,55,115,4,8,162,314,165,13,2,5,2,113,14,8600000US72401,22778.0,1858.0,19143,16750,1913,57,120,6,121,0,0,0.0,0.0,1,13,13.0,3.0,4,9,2.25,3.12
52349,2997,2982,2965,3,4,4,1,0,5,15,10,0,0,0,0,4,1,8600000US52349,32265.0,3446.0,2997,2975,3,4,4,1,4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
19018,9813,9722,8831,464,8,347,3,4,65,91,60,1,1,1,0,23,5,8600000US19018,29450.0,1269.0,9813,8891,465,9,348,3,27,19,312,16.42,2.71,3,43,14.33,3.0,14,139,9.93,2.39
52405,10219,10129,9767,176,16,109,5,3,53,90,55,1,1,0,0,20,13,8600000US52405,30046.0,1444.0,10219,9822,177,17,109,5,23,0,0,0.0,0.0,2,3,1.5,4.5,0,0,0.0,0.0
55421,11410,11217,10377,289,132,259,3,8,149,193,101,4,5,1,0,62,20,8600000US55421,27960.0,1475.0,11410,10478,293,137,260,3,70,5,249,49.8,3.1,15,365,24.33,3.57,15,187,12.47,2.53
35565,5861,5766,5675,33,11,6,0,0,41,95,27,0,0,2,0,63,3,8600000US35565,18277.0,1634.0,5861,5702,33,11,8,0,63,2,3,1.5,2.5,4,12,3.0,3.5,4,8,2.0,1.38
16146,6817,6784,6010,678,13,11,2,3,67,33,19,4,0,0,0,2,8,8600000US16146,20673.0,1594.0,6817,6029,682,13,11,2,5,1,6,6.0,4.0,2,28,14.0,3.25,6,21,3.5,2.83
85706,20190,7606,6449,457,436,100,7,17,140,12584,5843,48,218,15,5,5939,516,8600000US85706,13294.0,514.0,20190,12292,505,654,115,12,5956,1,50,50.0,3.5,17,479,28.18,3.56,16,147,9.19,2.91
30121,5500,5393,4868,447,12,31,1,1,33,107,51,0,3,0,0,44,9,8600000US30121,25301.0,2601.0,5500,4919,447,15,31,1,45,2,26,13.0,3.5,5,211,42.2,3.9,10,91,9.1,2.55
56560,12628,12283,11844,66,143,106,5,2,117,345,142,3,6,1,0,174,19,8600000US56560,26597.0,1007.0,12628,11986,69,149,107,5,176,1,20,20.0,4.0,1,14,14.0,3.5,2,9,4.5,1.75
26416,2747,2734,2652,18,31,6,0,0,27,13,9,0,0,0,0,4,0,8600000US26416,21894.0,2755.0,2747,2661,18,31,6,0,4,1,2,2.0,3.5,1,3,3.0,4.5,2,2,1.0,2.0
98375,4669,4517,4126,107,46,118,15,3,102,152,80,6,2,3,1,49,11,8600000US98375,28107.0,1146.0,4669,4206,113,48,121,16,52,0,0,0.0,0.0,1,135,135.0,3.0,0,0,0.0,0.0
57042,3310,3288,3249,2,15,9,0,0,13,22,10,0,0,0,0,10,2,8600000US57042,27769.0,2984.0,3310,3259,2,15,9,0,10,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
94595,9920,9751,9273,41,14,329,3,12,79,169,138,0,2,1,0,23,5,8600000US94595,56104.0,2852.0,9920,9411,41,16,330,3,35,5,2246,449.2,3.3,11,2924,265.82,3.55,4,362,90.5,2.88
55404,11156,10110,5270,3194,590,404,11,25,616,1046,359,25,36,2,1,502,121,8600000US55404,21964.0,1379.0,11156,5629,3219,626,406,12,527,29,1467,50.59,3.28,54,5496,101.78,7.11,46,1106,24.04,2.88
27127,10906,10548,7993,2338,25,105,0,11,76,358,145,17,4,0,0,172,20,8600000US27127,24528.0,2198.0,10906,8138,2355,29,105,0,183,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
12534,7422,7189,6370,645,12,70,2,3,87,233,106,11,1,4,0,82,29,8600000US12534,28782.0,2049.0,7422,6476,656,13,74,2,85,5,56,11.2,3.7,2,258,129.0,2.75,5,22,4.4,2.5
95926,14485,13384,12205,235,127,420,30,41,326,1101,505,7,19,5,1,461,103,8600000US95926,27149.0,2201.0,14485,12710,242,146,425,31,502,14,1539,109.93,3.5,43,2774,64.51,3.71,22,927,42.14,2.68
84124,7702,7499,7208,30,15,154,13,2,77,203,111,1,5,0,0,76,10,8600000US84124,40407.0,2441.0,7702,7319,31,20,154,13,78,5,444,88.8,3.7,11,1165,105.91,3.27,11,113,10.27,2.64
90212,5709,5517,4886,126,5,337,0,20,143,192,120,1,1,2,0,50,18,8600000US90212,73331.0,9300.0,5709,5006,127,6,339,0,70,26,6670,256.54,3.44,59,24024,407.19,6.86,32,2439,76.22,2.72
89703,4098,3951,3730,13,122,41,4,3,38,147,101,0,2,1,0,32,11,8600000US89703,41181.0,3272.0,4098,3831,13,124,42,4,35,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
75791,3858,3776,3570,154,9,14,1,2,26,82,45,0,3,0,0,30,4,8600000US75791,27936.0,2345.0,3858,3615,154,12,14,1,32,1,10,10.0,3.5,3,30,10.0,3.67,4,22,5.5,2.25
98020,7946,7815,7397,50,40,232,6,7,83,131,75,1,6,2,0,29,18,8600000US98020,56276.0,3843.0,7946,7472,51,46,234,6,36,3,206,68.67,4.17,5,477,95.4,3.3,5,141,28.2,2.9
06082,16418,16181,15614,266,16,171,1,9,104,237,126,11,2,1,1,72,24,8600000US06082,33246.0,1218.0,16418,15740,277,18,172,2,81,6,87,14.5,3.25,4,272,68.0,3.12,9,244,27.11,2.83
70122,17819,17267,4954,11830,22,183,4,76,198,552,305,93,2,1,2,96,53,8600000US70122,24268.0,1050.0,17819,5259,11923,24,184,6,172,4,120,30.0,3.5,2,62,31.0,3.75,18,151,8.39,2.42
84123,13386,12291,11448,170,115,328,85,7,138,1095,528,9,15,2,3,455,83,8600000US84123,25115.0,1122.0,13386,11976,179,130,330,88,462,8,522,65.25,3.0,17,478,28.12,3.35,22,423,19.23,2.64
36695,11931,11747,10377,1055,31,192,6,3,83,184,105,4,2,0,2,62,9,8600000US36695,32067.0,2114.0,11931,10482,1059,33,192,8,65,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
29479,2539,2518,964,1524,5,3,0,3,19,21,10,4,0,0,0,6,1,8600000US29479,17221.0,1791.0,2539,974,1528,5,3,0,9,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
78253,3242,2376,2080,186,17,53,4,2,34,866,557,2,3,4,0,266,34,8600000US78253,33321.0,1523.0,3242,2637,188,20,57,4,268,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
13662,6927,6870,6635,9,155,32,1,2,36,57,39,3,7,0,0,5,3,8600000US13662,26194.0,1888.0,6927,6674,12,162,32,1,7,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
