,Id,zip_code,Geography,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
88,8600000US60402,60402,ZCTA5 60402,22225,16956,15972,193,30,420,1,26,314,5269,2434,30,43,10,2,2511,239,22225,18406,223,73,430,3,2537
89,8600000US78704,78704,ZCTA5 78704,20618,15590,13986,825,101,271,9,62,336,5028,2266,27,71,7,2,2417,238,20618,16252,852,172,278,11,2479
90,8600000US33461,33461,ZCTA5 33461,14032,11128,9746,960,35,132,3,20,232,2904,1849,55,14,4,1,792,189,14032,11595,1015,49,136,4,812
91,8600000US91355,91355,ZCTA5 91355,9664,8913,8108,146,24,462,6,22,145,751,482,3,9,7,1,197,52,9664,8590,149,33,469,7,219
92,8600000US30228,30228,ZCTA5 30228,6900,6774,5617,1036,18,46,3,4,50,126,77,4,3,1,0,36,5,6900,5694,1040,21,47,3,40
93,8600000US29720,29720,ZCTA5 29720,16940,16750,12134,4476,25,37,3,6,69,190,67,14,0,1,1,103,4,16940,12201,4490,25,38,4,109
94,8600000US34982,34982,ZCTA5 34982,9305,8710,7995,534,21,66,3,6,85,595,400,7,1,2,2,153,30,9305,8395,541,22,68,5,159
95,8600000US90016,90016,ZCTA5 90016,16369,11600,687,9750,24,691,14,66,368,4769,1624,151,56,6,4,2599,329,16369,2311,9901,80,697,18,2665
96,8600000US53110,53110,ZCTA5 53110,7936,7705,7477,53,47,47,1,7,73,231,115,4,3,0,0,86,23,7936,7592,57,50,47,1,93
97,8600000US60714,60714,ZCTA5 60714,12324,11926,10592,35,3,1134,1,4,157,398,243,2,4,5,0,123,21,12324,10835,37,7,1139,1,127
98,8600000US44839,44839,ZCTA5 44839,5019,4968,4890,19,6,23,0,0,30,51,38,0,0,0,0,9,4,5019,4928,19,6,23,0,9
99,8600000US77546,77546,ZCTA5 77546,13276,12235,11052,546,45,455,3,18,116,1041,659,6,10,4,0,312,50,13276,11711,552,55,459,3,330
