zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
69361,7203,6149,5934,13,113,48,1,2,38,1054,481,1,20,1,0,516,35,8600000US69361,25511.0,1928.0,7203,6415,14,133,49,1,518
98577,2612,2543,2372,4,40,70,3,2,52,69,41,0,3,1,0,22,2,8600000US98577,21632.0,1947.0,2612,2413,4,43,71,3,24
23223,16951,16809,2790,13761,44,52,3,16,143,142,35,55,0,1,0,35,16,8600000US23223,24850.0,2228.0,16951,2825,13816,44,53,3,51
53223,12422,12190,8098,3662,35,227,4,19,145,232,115,18,3,4,0,78,14,8600000US53223,24296.0,1203.0,12422,8213,3680,38,231,4,97
51632,2577,2569,2520,11,5,16,1,0,16,8,6,0,0,0,0,1,1,8600000US51632,24136.0,2865.0,2577,2526,11,5,16,1,1
15853,3011,3002,2970,5,1,12,0,2,12,9,9,0,0,0,0,0,0,8600000US15853,26210.0,2010.0,3011,2979,5,1,12,0,2
98383,7153,6917,5946,230,48,480,42,15,156,236,125,3,0,3,4,76,25,8600000US98383,37153.0,2121.0,7153,6071,233,48,483,46,91
64080,3605,3573,3510,13,18,7,0,0,25,32,20,1,1,0,0,6,4,8600000US64080,31444.0,2378.0,3605,3530,14,19,7,0,6
06905,8321,7877,6735,402,3,623,0,10,104,444,284,13,2,3,0,126,16,8600000US06905,58593.0,4466.0,8321,7019,415,5,626,0,136
45241,9867,9761,9109,308,10,268,3,9,54,106,74,0,0,0,0,24,8,8600000US45241,43569.0,2085.0,9867,9183,308,10,268,3,33
85024,7397,6970,6619,117,33,114,3,4,80,427,255,3,0,5,1,144,19,8600000US85024,35695.0,2096.0,7397,6874,120,33,119,4,148
43326,5515,5481,5377,45,15,14,0,2,28,34,25,0,1,0,0,5,3,8600000US43326,21846.0,1534.0,5515,5402,45,16,14,0,7
72113,4804,4751,4278,386,26,25,0,2,34,53,33,1,0,0,0,14,5,8600000US72113,35010.0,2440.0,4804,4311,387,26,25,0,16
28037,5052,5005,4820,142,13,7,0,0,23,47,31,0,1,0,0,8,7,8600000US28037,40046.0,2448.0,5052,4851,142,14,7,0,8
02645,4068,4051,3878,20,3,8,1,95,46,17,10,0,1,0,0,1,5,8600000US02645,43233.0,5271.0,4068,3888,20,4,8,1,96
53566,6082,6039,5985,12,14,10,0,1,17,43,28,0,1,0,0,11,3,8600000US53566,28539.0,1120.0,6082,6013,12,15,10,0,12
72956,10899,10577,9914,116,182,149,0,4,212,322,127,1,7,3,0,158,26,8600000US72956,22325.0,1208.0,10899,10041,117,189,152,0,162
79714,4593,3148,2977,80,27,27,1,2,34,1445,763,3,13,1,0,598,67,8600000US79714,29903.0,3147.0,4593,3740,83,40,28,1,600
89410,7745,7351,7003,15,168,58,10,5,92,394,238,1,16,1,1,117,20,8600000US89410,31564.0,2186.0,7745,7241,16,184,59,11,122
45002,4177,4160,4117,12,3,5,2,0,21,17,13,0,0,0,0,3,1,8600000US45002,31881.0,2237.0,4177,4130,12,3,5,2,3
80110,18753,16802,15843,253,130,319,10,10,237,1951,1002,13,71,3,1,732,129,8600000US80110,28289.0,1841.0,18753,16845,266,201,322,11,742
06002,7901,7714,3914,3526,11,87,1,12,163,187,70,33,2,0,0,68,14,8600000US06002,41515.0,3048.0,7901,3984,3559,13,87,1,80
48390,7929,7854,7594,53,11,131,1,6,58,75,51,0,0,2,0,17,5,8600000US48390,37929.0,1593.0,7929,7645,53,11,133,1,23
46561,4098,4074,3989,28,5,30,0,2,20,24,14,0,0,0,0,8,2,8600000US46561,26617.0,1614.0,4098,4003,28,5,30,0,10
74948,4190,4128,3073,78,625,10,2,1,339,62,24,0,4,0,1,27,6,8600000US74948,19316.0,1203.0,4190,3097,78,629,10,3,28
72010,2536,2503,2386,70,14,5,1,0,27,33,21,0,1,1,0,9,1,8600000US72010,17743.0,2002.0,2536,2407,70,15,6,1,9
27601,3434,3314,520,2732,11,12,1,5,33,120,43,11,2,0,1,52,11,8600000US27601,25909.0,3337.0,3434,563,2743,13,12,2,57
79118,4466,4142,4021,27,39,7,0,1,47,324,123,0,8,0,0,183,10,8600000US79118,31158.0,1633.0,4466,4144,27,47,7,0,184
30525,3062,2972,2915,20,6,10,0,2,19,90,26,0,0,0,1,61,2,8600000US30525,27287.0,4934.0,3062,2941,20,6,10,1,63
31008,4882,4817,4271,496,6,9,0,3,32,65,35,2,0,0,0,23,5,8600000US31008,26353.0,1684.0,4882,4306,498,6,9,0,26
32082,11866,11620,11318,120,23,97,3,1,58,246,193,2,2,2,1,39,7,8600000US32082,66925.0,4270.0,11866,11511,122,25,99,4,40
