,zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
150,27040,3659,3625,3315,265,6,11,0,4,24,34,19,0,0,0,0,12,3,8600000US27040,36044.0,2918.0,3659,3334,265,6,11,0,16
151,7203,7520,6573,2705,3473,13,181,2,20,179,947,510,61,5,1,1,298,71,8600000US07203,26114.0,1756.0,7520,3215,3534,18,182,3,318
152,15239,7954,7909,7588,231,4,53,1,3,29,45,36,1,0,0,0,5,3,8600000US15239,32248.0,1270.0,7954,7624,232,4,53,1,8
153,30309,11495,11157,9033,1600,17,341,1,25,140,338,214,19,0,2,0,73,30,8600000US30309,73481.0,5156.0,11495,9247,1619,17,343,1,98
154,46077,5502,5463,5353,41,11,41,1,2,14,39,27,1,0,0,0,9,2,8600000US46077,59036.0,4044.0,5502,5380,42,11,41,1,11
155,20715,8723,8540,7332,904,23,162,1,11,107,183,119,7,0,0,0,44,13,8600000US20715,43638.0,1818.0,8723,7451,911,23,162,1,55
156,60436,6254,5677,4331,1248,10,26,0,8,54,577,237,3,5,0,0,291,41,8600000US60436,21131.0,1145.0,6254,4568,1251,15,26,0,299
157,80206,11581,10853,9601,764,63,200,6,18,201,728,427,14,18,0,0,216,53,8600000US80206,64096.0,4773.0,11581,10028,778,81,200,6,234
158,6112,7706,7143,125,6660,18,16,3,12,309,563,112,80,8,3,0,324,36,8600000US06112,19539.0,1810.0,7706,237,6740,26,19,3,336
159,97423,2944,2878,2770,5,41,12,4,2,44,66,38,1,4,0,0,19,4,8600000US97423,22967.0,3456.0,2944,2808,6,45,12,4,21
160,23834,9729,9597,8052,1278,14,161,9,6,77,132,70,14,1,2,0,41,4,8600000US23834,28622.0,1369.0,9729,8122,1292,15,163,9,47
161,10523,2609,2270,1337,660,4,196,4,9,60,339,177,6,3,0,0,119,34,8600000US10523,37921.0,3490.0,2609,1514,666,7,196,4,128
162,90002,10690,5623,68,5440,12,9,8,13,73,5067,1250,40,54,8,5,3402,308,8600000US90002,11807.0,577.0,10690,1318,5480,66,17,13,3415
163,11412,11565,11212,73,10728,37,39,2,33,300,353,39,193,6,1,1,83,30,8600000US11412,27935.0,1048.0,11565,112,10921,43,40,3,116
164,80002,6720,6048,5794,53,41,82,3,4,71,672,374,5,20,2,1,236,34,8600000US80002,31446.0,1968.0,6720,6168,58,61,84,4,240
165,35064,4796,4775,605,4142,2,6,0,0,20,21,4,14,0,0,0,2,1,8600000US35064,19116.0,1784.0,4796,609,4156,2,6,0,2
166,37604,14034,13837,12733,789,42,149,1,11,112,197,124,2,1,2,0,57,11,8600000US37604,28793.0,1965.0,14034,12857,791,43,151,1,68
167,14227,10388,10321,9966,182,13,109,3,3,45,67,45,1,1,0,0,16,4,8600000US14227,29886.0,1125.0,10388,10011,183,14,109,3,19
168,29657,5489,5451,5132,269,11,4,0,1,34,38,24,0,0,0,0,14,0,8600000US29657,21169.0,1539.0,5489,5156,269,11,4,0,15
169,70546,5866,5827,4687,1089,14,9,0,1,27,39,33,0,0,0,0,5,1,8600000US70546,22339.0,2004.0,5866,4720,1089,14,9,0,6
170,7508,7270,6172,5478,365,2,149,1,10,167,1098,543,36,8,3,1,422,85,8600000US07508,33778.0,2580.0,7270,6021,401,10,152,2,432
171,1473,2527,2510,2467,9,1,20,0,0,13,17,13,1,0,0,0,2,1,8600000US01473,43218.0,3949.0,2527,2480,10,1,20,0,2
172,11758,18080,17479,16473,667,9,208,2,14,106,601,395,28,3,0,0,138,37,8600000US11758,46956.0,1582.0,18080,16868,695,12,208,2,152
173,89447,3150,2809,2608,4,142,5,0,5,45,341,161,0,21,1,0,145,13,8600000US89447,25084.0,4301.0,3150,2769,4,163,6,0,150
174,19124,22349,19048,12941,4954,45,715,6,37,350,3301,948,140,20,4,7,1909,273,8600000US19124,15293.0,934.0,22349,13889,5094,65,719,13,1946
175,18337,4162,4027,3886,69,10,21,0,4,37,135,105,3,4,0,0,18,5,8600000US18337,34192.0,3374.0,4162,3991,72,14,21,0,22
176,52403,10150,10027,9340,499,20,82,1,4,81,123,74,4,1,2,0,28,14,8600000US52403,37319.0,3009.0,10150,9414,503,21,84,1,32
177,99502,6576,6358,5192,226,301,403,24,6,206,218,100,5,12,4,2,75,20,8600000US99502,41256.0,2823.0,6576,5292,231,313,407,26,81
178,19963,6042,5833,5023,678,25,37,1,5,64,209,84,9,2,2,1,100,11,8600000US19963,28345.0,1672.0,6042,5107,687,27,39,2,105
179,30064,15298,14836,12433,2089,19,160,6,16,113,462,269,22,2,1,1,153,14,8600000US30064,40764.0,2248.0,15298,12702,2111,21,161,7,169
180,43232,16839,16526,10272,5549,64,257,5,25,354,313,141,30,3,4,0,116,19,8600000US43232,19893.0,1035.0,16839,10413,5579,67,261,5,141
181,93117,15500,12780,10503,262,59,1478,18,35,425,2720,1263,23,56,12,5,1170,191,8600000US93117,25127.0,1042.0,15500,11766,285,115,1490,23,1205
182,78578,3364,1531,1490,6,8,8,1,0,18,1833,1333,15,6,2,0,411,66,8600000US78578,20726.0,2737.0,3364,2823,21,14,10,1,411
183,44224,13971,13884,13301,251,20,227,1,5,79,87,55,3,1,0,0,18,10,8600000US44224,35900.0,1480.0,13971,13356,254,21,227,1,23
184,10028,26113,25155,23241,286,10,1264,6,54,294,958,714,18,4,6,0,154,62,8600000US10028,115071.0,6527.0,26113,23955,304,14,1270,6,208
185,53182,2879,2835,2792,5,9,7,0,0,22,44,27,0,1,1,0,13,2,8600000US53182,31510.0,2445.0,2879,2819,5,10,8,0,13
186,2762,3009,2985,2902,22,0,47,0,1,13,24,19,0,0,0,0,3,2,8600000US02762,39956.0,3518.0,3009,2921,22,0,47,0,4
187,48036,9526,9418,8623,586,24,68,1,2,114,108,62,5,2,1,1,23,14,8600000US48036,27786.0,1485.0,9526,8685,591,26,69,2,25
188,19803,8427,8342,7856,239,8,217,1,6,15,85,65,2,0,0,0,12,6,8600000US19803,50062.0,2561.0,8427,7921,241,8,217,1,18
189,14414,2514,2493,2419,37,10,7,0,1,19,21,14,1,0,0,0,5,1,8600000US14414,29494.0,1920.0,2514,2433,38,10,7,0,6
190,45377,6303,6265,6125,45,10,42,2,2,39,38,23,1,0,0,0,10,4,8600000US45377,31258.0,1850.0,6303,6148,46,10,42,2,12
191,76704,2999,2833,298,2493,5,17,0,0,20,166,50,5,4,0,0,103,4,8600000US76704,13423.0,1913.0,2999,348,2498,9,17,0,103
192,33764,10807,10461,10039,201,12,118,2,6,83,346,255,11,2,0,0,68,10,8600000US33764,35057.0,4616.0,10807,10294,212,14,118,2,74
193,29902,9098,8847,6733,1935,21,70,10,3,75,251,113,22,3,1,0,95,17,8600000US29902,27415.0,2795.0,9098,6846,1957,24,71,10,98
194,94708,4676,4557,4022,87,7,337,1,13,90,119,72,1,5,0,1,20,20,8600000US94708,88763.0,8249.0,4676,4094,88,12,337,2,33
195,7728,17798,16667,14984,890,6,650,2,14,121,1131,786,33,19,4,1,203,85,8600000US07728,41667.0,1581.0,17798,15770,923,25,654,3,217
196,38401,19366,18910,15710,3006,35,52,2,10,95,456,194,13,5,0,0,195,49,8600000US38401,24437.0,834.0,19366,15904,3019,40,52,2,205
197,23504,8114,8036,369,7569,23,11,1,4,59,78,14,38,2,0,2,16,6,8600000US23504,16984.0,1143.0,8114,383,7607,25,11,3,20
198,44144,9988,9587,9163,163,18,126,1,8,108,401,182,5,1,0,2,187,24,8600000US44144,23806.0,1502.0,9988,9345,168,19,126,3,195
199,70501,11216,11121,3970,6986,15,36,1,18,95,95,40,24,3,0,0,17,11,8600000US70501,16779.0,1357.0,11216,4010,7010,18,36,1,35
200,2852,9164,9046,8781,89,44,66,2,5,59,118,60,3,5,0,2,36,12,8600000US02852,41377.0,2135.0,9164,8841,92,49,66,4,41
201,93063,16393,14650,13273,204,65,822,21,18,247,1743,990,2,37,10,0,580,124,8600000US93063,36783.0,1261.0,16393,14263,206,102,832,21,598
202,84065,8433,8235,8115,11,19,43,16,2,29,198,95,0,2,1,0,80,20,8600000US84065,30488.0,1409.0,8433,8210,11,21,44,16,82
203,45215,13129,13022,9388,3346,14,158,3,11,102,107,55,8,0,0,0,31,13,8600000US45215,32351.0,3173.0,13129,9443,3354,14,158,3,42
204,72401,19143,18829,16585,1900,55,115,4,8,162,314,165,13,2,5,2,113,14,8600000US72401,22778.0,1858.0,19143,16750,1913,57,120,6,121
205,52349,2997,2982,2965,3,4,4,1,0,5,15,10,0,0,0,0,4,1,8600000US52349,32265.0,3446.0,2997,2975,3,4,4,1,4
206,19018,9813,9722,8831,464,8,347,3,4,65,91,60,1,1,1,0,23,5,8600000US19018,29450.0,1269.0,9813,8891,465,9,348,3,27
207,52405,10219,10129,9767,176,16,109,5,3,53,90,55,1,1,0,0,20,13,8600000US52405,30046.0,1444.0,10219,9822,177,17,109,5,23
208,55421,11410,11217,10377,289,132,259,3,8,149,193,101,4,5,1,0,62,20,8600000US55421,27960.0,1475.0,11410,10478,293,137,260,3,70
209,35565,5861,5766,5675,33,11,6,0,0,41,95,27,0,0,2,0,63,3,8600000US35565,18277.0,1634.0,5861,5702,33,11,8,0,63
210,16146,6817,6784,6010,678,13,11,2,3,67,33,19,4,0,0,0,2,8,8600000US16146,20673.0,1594.0,6817,6029,682,13,11,2,5
211,85706,20190,7606,6449,457,436,100,7,17,140,12584,5843,48,218,15,5,5939,516,8600000US85706,13294.0,514.0,20190,12292,505,654,115,12,5956
212,30121,5500,5393,4868,447,12,31,1,1,33,107,51,0,3,0,0,44,9,8600000US30121,25301.0,2601.0,5500,4919,447,15,31,1,45
213,56560,12628,12283,11844,66,143,106,5,2,117,345,142,3,6,1,0,174,19,8600000US56560,26597.0,1007.0,12628,11986,69,149,107,5,176
214,26416,2747,2734,2652,18,31,6,0,0,27,13,9,0,0,0,0,4,0,8600000US26416,21894.0,2755.0,2747,2661,18,31,6,0,4
215,98375,4669,4517,4126,107,46,118,15,3,102,152,80,6,2,3,1,49,11,8600000US98375,28107.0,1146.0,4669,4206,113,48,121,16,52
216,57042,3310,3288,3249,2,15,9,0,0,13,22,10,0,0,0,0,10,2,8600000US57042,27769.0,2984.0,3310,3259,2,15,9,0,10
217,94595,9920,9751,9273,41,14,329,3,12,79,169,138,0,2,1,0,23,5,8600000US94595,56104.0,2852.0,9920,9411,41,16,330,3,35
218,55404,11156,10110,5270,3194,590,404,11,25,616,1046,359,25,36,2,1,502,121,8600000US55404,21964.0,1379.0,11156,5629,3219,626,406,12,527
219,27127,10906,10548,7993,2338,25,105,0,11,76,358,145,17,4,0,0,172,20,8600000US27127,24528.0,2198.0,10906,8138,2355,29,105,0,183
220,12534,7422,7189,6370,645,12,70,2,3,87,233,106,11,1,4,0,82,29,8600000US12534,28782.0,2049.0,7422,6476,656,13,74,2,85
221,95926,14485,13384,12205,235,127,420,30,41,326,1101,505,7,19,5,1,461,103,8600000US95926,27149.0,2201.0,14485,12710,242,146,425,31,502
222,84124,7702,7499,7208,30,15,154,13,2,77,203,111,1,5,0,0,76,10,8600000US84124,40407.0,2441.0,7702,7319,31,20,154,13,78
223,90212,5709,5517,4886,126,5,337,0,20,143,192,120,1,1,2,0,50,18,8600000US90212,73331.0,9300.0,5709,5006,127,6,339,0,70
224,89703,4098,3951,3730,13,122,41,4,3,38,147,101,0,2,1,0,32,11,8600000US89703,41181.0,3272.0,4098,3831,13,124,42,4,35
225,75791,3858,3776,3570,154,9,14,1,2,26,82,45,0,3,0,0,30,4,8600000US75791,27936.0,2345.0,3858,3615,154,12,14,1,32
226,98020,7946,7815,7397,50,40,232,6,7,83,131,75,1,6,2,0,29,18,8600000US98020,56276.0,3843.0,7946,7472,51,46,234,6,36
227,6082,16418,16181,15614,266,16,171,1,9,104,237,126,11,2,1,1,72,24,8600000US06082,33246.0,1218.0,16418,15740,277,18,172,2,81
228,70122,17819,17267,4954,11830,22,183,4,76,198,552,305,93,2,1,2,96,53,8600000US70122,24268.0,1050.0,17819,5259,11923,24,184,6,172
229,84123,13386,12291,11448,170,115,328,85,7,138,1095,528,9,15,2,3,455,83,8600000US84123,25115.0,1122.0,13386,11976,179,130,330,88,462
230,36695,11931,11747,10377,1055,31,192,6,3,83,184,105,4,2,0,2,62,9,8600000US36695,32067.0,2114.0,11931,10482,1059,33,192,8,65
231,29479,2539,2518,964,1524,5,3,0,3,19,21,10,4,0,0,0,6,1,8600000US29479,17221.0,1791.0,2539,974,1528,5,3,0,9
232,78253,3242,2376,2080,186,17,53,4,2,34,866,557,2,3,4,0,266,34,8600000US78253,33321.0,1523.0,3242,2637,188,20,57,4,268
233,13662,6927,6870,6635,9,155,32,1,2,36,57,39,3,7,0,0,5,3,8600000US13662,26194.0,1888.0,6927,6674,12,162,32,1,7
234,61606,2887,2833,2116,581,6,69,0,5,56,54,19,2,0,1,0,30,2,8600000US61606,18293.0,2353.0,2887,2135,583,6,70,0,35
235,41008,2837,2776,2681,61,6,6,0,1,21,61,33,0,0,0,0,27,1,8600000US41008,23175.0,2424.0,2837,2714,61,6,6,0,28
236,24112,14406,14195,9070,4969,14,54,0,5,83,211,119,31,0,1,0,52,8,8600000US24112,22047.0,929.0,14406,9189,5000,14,55,0,57
237,27262,9690,9295,7272,1736,41,140,2,5,99,395,178,8,1,2,0,178,28,8600000US27262,24607.0,1787.0,9690,7450,1744,42,142,2,183
238,1938,5290,5247,5177,14,2,25,0,2,27,43,28,2,0,0,0,10,3,8600000US01938,45228.0,3218.0,5290,5205,16,2,25,0,12
239,46825,10029,9840,9060,423,32,231,2,9,83,189,89,5,6,0,1,70,18,8600000US46825,28045.0,1304.0,10029,9149,428,38,231,3,79
240,85033,14911,8158,6227,1331,162,199,16,14,209,6753,2964,37,58,13,8,3359,314,8600000US85033,12037.0,476.0,14911,9191,1368,220,212,24,3373
241,95678,11771,10178,9371,121,90,353,18,12,213,1593,824,5,35,12,3,592,122,8600000US95678,32495.0,1491.0,11771,10195,126,125,365,21,604
242,92337,7819,3908,2223,1083,36,410,17,10,129,3911,1391,31,54,15,7,2244,169,8600000US92337,22546.0,1061.0,7819,3614,1114,90,425,24,2254
243,2903,4299,3734,2762,433,31,297,0,41,170,565,204,25,5,4,3,256,68,8600000US02903,33478.0,3458.0,4299,2966,458,36,301,3,297
244,12304,8349,8058,6791,939,21,158,2,21,126,291,111,37,1,1,0,124,17,8600000US12304,26122.0,1934.0,8349,6902,976,22,159,2,145
245,19134,19888,14926,12318,1920,33,318,3,11,323,4962,1196,194,51,8,7,3237,269,8600000US19134,14556.0,793.0,19888,13514,2114,84,326,10,3248
246,49038,4037,3983,3876,46,24,12,0,1,24,54,29,1,1,1,0,18,4,8600000US49038,27674.0,2403.0,4037,3905,47,25,13,0,19
247,79549,5215,4064,3828,192,12,8,0,0,24,1151,609,3,15,0,0,492,32,8600000US79549,23721.0,1801.0,5215,4437,195,27,8,0,492
248,8110,5131,4207,2359,1490,33,226,2,8,89,924,311,41,5,3,0,520,44,8600000US08110,24171.0,1719.0,5131,2670,1531,38,229,2,528
249,54880,12907,12838,12392,47,240,54,1,1,103,69,38,1,3,0,0,18,9,8600000US54880,26378.0,969.0,12907,12430,48,243,54,1,19
0,77354,5325,4988,4772,135,26,6,0,5,44,337,187,1,4,0,0,125,20,8600000US77354,39144.0,3923.0,5325,4959,136,30,6,0,130
1,30066,17830,17366,15422,1198,36,519,8,16,167,464,282,12,6,3,2,127,32,8600000US30066,42876.0,2231.0,17830,15704,1210,42,522,10,143
2,84403,12249,11067,10506,145,62,200,26,3,125,1182,475,6,12,5,2,618,64,8600000US84403,28227.0,1775.0,12249,10981,151,74,205,28,621
3,3062,9992,9801,9082,153,14,449,0,16,87,191,109,10,4,1,0,53,14,8600000US03062,43440.0,1761.0,9992,9191,163,18,450,0,69
4,77027,8462,7815,7147,223,18,280,3,16,128,647,449,4,2,1,0,166,25,8600000US77027,89183.0,8128.0,8462,7596,227,20,281,3,182
5,55119,15161,14736,12774,1119,87,513,8,16,219,425,188,19,7,0,0,170,41,8600000US55119,26442.0,923.0,15161,12962,1138,94,513,8,186
6,81301,12708,11773,11273,21,259,46,4,29,141,935,461,5,34,0,0,383,52,8600000US81301,37845.0,2277.0,12708,11734,26,293,46,4,412
7,33187,4137,1713,1292,266,8,80,2,7,58,2424,2130,27,3,1,1,173,89,8600000US33187,25319.0,2085.0,4137,3422,293,11,81,3,180
8,60714,12324,11926,10592,35,3,1134,1,4,157,398,243,2,4,5,0,123,21,8600000US60714,29595.0,1760.0,12324,10835,37,7,1139,1,127
9,72904,7599,6898,4753,1362,83,512,2,6,180,701,214,7,6,5,2,400,67,8600000US72904,13544.0,834.0,7599,4967,1369,89,517,4,406
10,7310,3237,2960,1274,303,1,1295,2,17,68,277,133,12,2,1,1,115,13,8600000US07310,75204.0,6768.0,3237,1407,315,3,1296,3,132
11,34748,14035,13780,11653,1933,27,84,1,4,78,255,155,15,2,3,0,62,18,8600000US34748,25410.0,1252.0,14035,11808,1948,29,87,1,66
12,60187,21537,20989,19471,487,20,868,3,9,131,548,383,8,2,1,0,139,15,8600000US60187,43301.0,2144.0,21537,19854,495,22,869,3,148
13,38558,4377,4358,4320,12,3,5,0,0,18,19,11,0,0,0,1,5,2,8600000US38558,31945.0,2122.0,4377,4331,12,3,5,1,5
14,48035,13847,13665,12367,865,35,223,3,6,166,182,119,6,8,2,0,35,12,8600000US48035,24338.0,958.0,13847,12486,871,43,225,3,41
15,89703,4098,3951,3730,13,122,41,4,3,38,147,101,0,2,1,0,32,11,8600000US89703,41181.0,3272.0,4098,3831,13,124,42,4,35
16,7821,3068,2993,2910,27,6,25,0,1,24,75,56,1,1,0,0,12,5,8600000US07821,47044.0,3342.0,3068,2966,28,7,25,0,13
17,94580,9029,7430,5412,469,43,1182,40,17,267,1599,725,8,29,10,5,695,127,8600000US94580,30605.0,1375.0,9029,6137,477,72,1192,45,712
18,60525,12719,12175,11596,381,8,125,0,5,60,544,355,3,6,0,0,166,14,8600000US60525,46090.0,2222.0,12719,11951,384,14,125,0,171
19,21811,8183,8102,7087,915,11,42,1,3,43,81,59,7,0,0,0,11,4,8600000US21811,37333.0,2058.0,8183,7146,922,11,42,1,14
20,60422,3300,3248,2306,783,1,123,0,1,34,52,30,7,2,0,0,12,1,8600000US60422,50136.0,6203.0,3300,2336,790,3,123,0,13
21,55976,2561,2541,2510,10,4,3,0,0,14,20,15,0,1,0,0,4,0,8600000US55976,29215.0,2262.0,2561,2525,10,5,3,0,4
22,32208,12574,12476,3582,8742,33,23,2,5,89,98,42,32,1,1,0,13,9,8600000US32208,19704.0,1925.0,12574,3624,8774,34,24,2,18
23,12118,4892,4853,4776,23,5,19,2,1,27,39,29,0,0,0,0,10,0,8600000US12118,38019.0,2686.0,4892,4805,23,5,19,2,11
24,78209,18130,14627,13522,720,46,163,2,15,159,3503,2547,18,47,8,1,748,134,8600000US78209,55268.0,3980.0,18130,16069,738,93,171,3,763
25,33477,6325,6244,6188,8,3,21,0,2,22,81,72,1,0,1,0,4,3,8600000US33477,68812.0,5459.0,6325,6260,9,3,22,0,6
26,48208,5133,5058,402,4547,15,8,0,2,84,75,20,15,3,0,0,27,10,8600000US48208,19226.0,2671.0,5133,422,4562,18,8,0,29
27,70114,10358,9979,2673,7072,28,102,3,11,90,379,171,30,3,0,0,136,39,8600000US70114,20211.0,1127.0,10358,2844,7102,31,102,3,147
28,11766,2850,2768,2679,29,3,38,1,1,17,82,59,2,0,0,0,15,6,8600000US11766,46739.0,4014.0,2850,2738,31,3,38,1,16
29,46540,3172,3154,3101,7,8,14,1,0,23,18,8,0,0,1,0,6,3,8600000US46540,26500.0,1859.0,3172,3109,7,8,15,1,6
30,77076,8510,3412,2558,742,19,43,1,2,47,5098,2912,27,38,3,2,1854,262,8600000US77076,12474.0,763.0,8510,5470,769,57,46,3,1856
31,95135,5841,5390,3680,140,13,1463,7,6,81,451,247,4,5,8,0,168,19,8600000US95135,52101.0,3085.0,5841,3927,144,18,1471,7,174
32,11949,4216,4102,4009,43,6,21,2,4,17,114,86,3,0,1,0,19,5,8600000US11949,40446.0,3288.0,4216,4095,46,6,22,2,23
33,28723,2817,2773,2642,61,25,15,0,0,30,44,26,0,0,0,0,17,1,8600000US28723,15416.0,1533.0,2817,2668,61,25,15,0,17
34,15317,12357,12298,11840,319,6,79,1,6,47,59,48,0,0,2,1,6,2,8600000US15317,42834.0,1943.0,12357,11888,319,6,81,2,12
35,55102,8572,8228,7161,695,82,156,3,11,120,344,136,8,10,0,0,159,31,8600000US55102,37538.0,1752.0,8572,7297,703,92,156,3,170
36,69361,7203,6149,5934,13,113,48,1,2,38,1054,481,1,20,1,0,516,35,8600000US69361,25511.0,1928.0,7203,6415,14,133,49,1,518
37,98577,2612,2543,2372,4,40,70,3,2,52,69,41,0,3,1,0,22,2,8600000US98577,21632.0,1947.0,2612,2413,4,43,71,3,24
38,23223,16951,16809,2790,13761,44,52,3,16,143,142,35,55,0,1,0,35,16,8600000US23223,24850.0,2228.0,16951,2825,13816,44,53,3,51
39,53223,12422,12190,8098,3662,35,227,4,19,145,232,115,18,3,4,0,78,14,8600000US53223,24296.0,1203.0,12422,8213,3680,38,231,4,97
40,51632,2577,2569,2520,11,5,16,1,0,16,8,6,0,0,0,0,1,1,8600000US51632,24136.0,2865.0,2577,2526,11,5,16,1,1
41,15853,3011,3002,2970,5,1,12,0,2,12,9,9,0,0,0,0,0,0,8600000US15853,26210.0,2010.0,3011,2979,5,1,12,0,2
42,98383,7153,6917,5946,230,48,480,42,15,156,236,125,3,0,3,4,76,25,8600000US98383,37153.0,2121.0,7153,6071,233,48,483,46,91
43,64080,3605,3573,3510,13,18,7,0,0,25,32,20,1,1,0,0,6,4,8600000US64080,31444.0,2378.0,3605,3530,14,19,7,0,6
44,6905,8321,7877,6735,402,3,623,0,10,104,444,284,13,2,3,0,126,16,8600000US06905,58593.0,4466.0,8321,7019,415,5,626,0,136
45,45241,9867,9761,9109,308,10,268,3,9,54,106,74,0,0,0,0,24,8,8600000US45241,43569.0,2085.0,9867,9183,308,10,268,3,33
46,85024,7397,6970,6619,117,33,114,3,4,80,427,255,3,0,5,1,144,19,8600000US85024,35695.0,2096.0,7397,6874,120,33,119,4,148
47,43326,5515,5481,5377,45,15,14,0,2,28,34,25,0,1,0,0,5,3,8600000US43326,21846.0,1534.0,5515,5402,45,16,14,0,7
48,72113,4804,4751,4278,386,26,25,0,2,34,53,33,1,0,0,0,14,5,8600000US72113,35010.0,2440.0,4804,4311,387,26,25,0,16
49,28037,5052,5005,4820,142,13,7,0,0,23,47,31,0,1,0,0,8,7,8600000US28037,40046.0,2448.0,5052,4851,142,14,7,0,8
50,2645,4068,4051,3878,20,3,8,1,95,46,17,10,0,1,0,0,1,5,8600000US02645,43233.0,5271.0,4068,3888,20,4,8,1,96
51,53566,6082,6039,5985,12,14,10,0,1,17,43,28,0,1,0,0,11,3,8600000US53566,28539.0,1120.0,6082,6013,12,15,10,0,12
52,72956,10899,10577,9914,116,182,149,0,4,212,322,127,1,7,3,0,158,26,8600000US72956,22325.0,1208.0,10899,10041,117,189,152,0,162
53,79714,4593,3148,2977,80,27,27,1,2,34,1445,763,3,13,1,0,598,67,8600000US79714,29903.0,3147.0,4593,3740,83,40,28,1,600
54,89410,7745,7351,7003,15,168,58,10,5,92,394,238,1,16,1,1,117,20,8600000US89410,31564.0,2186.0,7745,7241,16,184,59,11,122
55,45002,4177,4160,4117,12,3,5,2,0,21,17,13,0,0,0,0,3,1,8600000US45002,31881.0,2237.0,4177,4130,12,3,5,2,3
56,80110,18753,16802,15843,253,130,319,10,10,237,1951,1002,13,71,3,1,732,129,8600000US80110,28289.0,1841.0,18753,16845,266,201,322,11,742
57,6002,7901,7714,3914,3526,11,87,1,12,163,187,70,33,2,0,0,68,14,8600000US06002,41515.0,3048.0,7901,3984,3559,13,87,1,80
58,48390,7929,7854,7594,53,11,131,1,6,58,75,51,0,0,2,0,17,5,8600000US48390,37929.0,1593.0,7929,7645,53,11,133,1,23
59,46561,4098,4074,3989,28,5,30,0,2,20,24,14,0,0,0,0,8,2,8600000US46561,26617.0,1614.0,4098,4003,28,5,30,0,10
60,74948,4190,4128,3073,78,625,10,2,1,339,62,24,0,4,0,1,27,6,8600000US74948,19316.0,1203.0,4190,3097,78,629,10,3,28
61,72010,2536,2503,2386,70,14,5,1,0,27,33,21,0,1,1,0,9,1,8600000US72010,17743.0,2002.0,2536,2407,70,15,6,1,9
62,27601,3434,3314,520,2732,11,12,1,5,33,120,43,11,2,0,1,52,11,8600000US27601,25909.0,3337.0,3434,563,2743,13,12,2,57
63,79118,4466,4142,4021,27,39,7,0,1,47,324,123,0,8,0,0,183,10,8600000US79118,31158.0,1633.0,4466,4144,27,47,7,0,184
64,30525,3062,2972,2915,20,6,10,0,2,19,90,26,0,0,0,1,61,2,8600000US30525,27287.0,4934.0,3062,2941,20,6,10,1,63
65,31008,4882,4817,4271,496,6,9,0,3,32,65,35,2,0,0,0,23,5,8600000US31008,26353.0,1684.0,4882,4306,498,6,9,0,26
66,32082,11866,11620,11318,120,23,97,3,1,58,246,193,2,2,2,1,39,7,8600000US32082,66925.0,4270.0,11866,11511,122,25,99,4,40
67,4102,7830,7753,7359,122,27,157,0,7,81,77,43,5,1,3,0,20,5,8600000US04102,32202.0,2037.0,7830,7402,127,28,160,0,27
68,60108,8296,7992,7155,196,8,565,0,3,65,304,199,0,1,1,0,83,20,8600000US60108,39449.0,1954.0,8296,7354,196,9,566,0,86
69,10547,2828,2609,2405,100,2,69,0,6,27,219,121,1,2,0,0,80,15,8600000US10547,35977.0,2764.0,2828,2526,101,4,69,0,86
70,24504,3543,3520,1342,2128,9,7,1,4,29,23,7,4,0,0,0,7,5,8600000US24504,23340.0,2574.0,3543,1349,2132,9,7,1,11
71,18704,14284,14215,14003,78,14,65,1,5,49,69,47,3,0,0,0,15,4,8600000US18704,28259.0,1413.0,14284,14050,81,14,65,1,20
72,11581,7059,6707,6046,199,5,377,2,15,63,352,246,6,0,2,0,66,32,8600000US11581,43109.0,2551.0,7059,6292,205,5,379,2,81
73,73162,10126,9941,8609,599,191,346,2,6,188,185,106,3,3,0,2,56,15,8600000US73162,36099.0,1719.0,10126,8715,602,194,346,4,62
74,99218,4714,4643,4428,40,43,67,9,1,55,71,44,1,3,2,0,16,5,8600000US99218,24825.0,1897.0,4714,4472,41,46,69,9,17
75,20636,2932,2908,2673,198,6,17,1,1,12,24,14,1,0,0,0,8,1,8600000US20636,41815.0,3831.0,2932,2687,199,6,17,1,9
76,32952,8373,8133,7871,69,23,100,3,9,58,240,192,2,1,0,0,29,16,8600000US32952,40826.0,3846.0,8373,8063,71,24,100,3,38
77,1462,3536,3512,3438,21,7,25,1,1,19,24,16,2,0,0,0,5,1,8600000US01462,41737.0,3351.0,3536,3454,23,7,25,1,6
